987	14	6	12.58
2607	101	3	5.65
111	6906	3	28.01
146	158	5	21.97
1971	12	4	9.75
117	125	17	23.6
922	181	5	47.71
105	1042	3	5.53
108	2074	5	27.15
105	990	8	29.89
115	3373	3	19.43
104	131	56	115.03
1009	113	3	10.51
520	104	4	4.41
104	195	12	14.07
115	1934	3	15.04
103	1266	3	6.16
920	12	8	18.15
310	135	11	84.61
4901	12	3	11.64
102	1940	6	22.48
284	102	17	34.96
6380	1074	3	55.81
116	1093	5	25.85
1808	119	3	17.25
17	103	18	24.2
2892	14	3	8.86
109	1128	5	21.46
3598	101	4	14.35
170	378	3	19.33
105	956	5	13.24
105	889	6	17.16
842	101	19	67.15
180	14	39	83.85
1246	873	3	37.69
109	472	8	27.98
110	1159	10	61.39
101	248	15	9.73
105	1799	3	8.36
102	4452	3	13.37
2658	101	5	15.32
1134	14	4	6.36
103	401	5	5.22
3235	12	3	9.01
102	6749	3	19.96
1573	1071	3	40.8
548	1074	3	34.05
8	9	8	6.41
126	224	3	8.24
5723	102	3	15.53
1119	12	10	32.6
720	109	3	7.1
194	12	13	5.4
106	1152	7	26.6
107	2021	3	11.09
925	107	4	10.81
112	848	3	9.27
1103	12	5	8.39
287	113	5	11.1
108	4402	3	19.28
102	865	8	21.18
668	786	6	75.45
101	575	8	7.47
109	220	33	161.81
101	396	17	27.18
104	1242	4	10.66
2048	112	3	14.75
105	1904	4	14.22
124	218	10	47.61
102	4248	5	33.26
104	362	12	29.26
192	1393	5	53.83
198	1181	3	27.99
2	923	4	20.64
2436	101	3	5.03
348	2	4	13.05
937	14	4	4.91
108	1654	4	17.5
102	5532	4	26.61
128	815	4	26.03
105	836	3	4.35
1617	101	4	5.82
280	14	19	37.51
105	784	9	30.84
12	114	136	21.06
155	581	5	39.81
5447	107	3	19.8
12	283	32	90.97
234	309	12	121.29
121	179	10	33.97
3155	9	3	24.39
102	1835	3	6.64
102	1623	5	14.9
105	2628	3	11.21
105	4648	4	24.88
107	599	3	4.26
102	4128	3	11.86
111	551	13	69.29
124	2070	3	20.55
218	104	10	12.15
119	1367	3	15.62
104	988	4	8.85
121	614	4	17.22
2105	101	5	11.8
3945	101	5	21.87
2332	101	3	5.03
785	14	5	6.53
1180	105	3	6.29
102	487	20	69.93
108	4792	3	19.28
2076	101	4	7.53
2992	101	3	6.38
114	713	9	47.31
509	112	5	15.93
126	732	3	14.89
12	8022	3	18.17
1863	14	3	5.83
101	4208	5	27.14
108	385	18	83.63
2854	12	5	20
905	104	4	7.97
113	2219	5	31.98
119	237	3	5.88
150	549	7	59.2
116	1600	3	14.67
102	2966	4	15.81
118	706	8	47.42
102	3050	3	9.74
513	107	28	165.71
110	1786	7	43.88
4299	12	3	11.64
192	884	4	36.88
107	1183	6	24.6
376	106	33	164.15
332	280	9	90.04
102	302	37	143.82
110	3464	4	26.58
253	101	19	19.76
115	108	74	69.18
101	2429	3	5.03
101	4600	3	9.83
115	307	6	17.16
126	987	3	16.86
102	1426	5	13.54
102	1368	5	12.94
111	3038	3	17.52
400	818	4	42.82
1987	101	5	11.8
866	101	15	44.53
4099	101	4	14.35
101	5287	3	11.92
106	820	4	7.76
120	194	13	53.97
1327	101	8	20.06
1660	153	3	26.81
2198	101	7	24.12
1	2	4	9.47
631	14	8	14.16
1680	14	3	5.03
2733	12	3	7.31
491	113	6	21.28
384	102	11	19.6
1380	1032	5	72.43
2623	12	4	12.36
116	585	3	8.6
116	525	5	18.38
102	358	41	189.07
102	477	19	63.18
187	108	11	21.28
1837	4254	4	74.42
113	1007	4	16.36
101	2171	3	4.49
109	2390	4	21.98
106	1794	7	33.6
129	208	6	28.43
108	567	12	54.4
6770	109	3	26.47
296	414	4	35.14
105	1419	4	11.91
104	1831	5	19.9
101	886	5	4.28
4029	104	3	13.92
101	1088	8	16.5
108	1275	4	15.45
105	251	14	29.75
593	107	23	132.2
105	208	23	61.37
343	181	4	28.26
12	4625	4	19.32
101	1722	5	10.12
12	2537	3	7.31
104	861	8	26.43
1275	109	9	53.38
137	211	3	12.91
1250	101	5	7.16
156	234	3	15.41
661	103	6	12.93
123	124	8	6.57
455	106	8	17.91
921	138	3	21.57
530	14	6	6.03
3066	101	4	11.17
12	659	12	28.55
102	1499	4	9.49
102	1551	7	25.3
107	468	4	6.24
1113	101	8	16.5
107	424	4	5.6
141	119	7	12.06
811	103	10	35.85
4776	101	3	9.83
1097	101	7	12.53
2028	101	3	4.02
101	3249	3	7.27
